,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8,display_name,house_number,road,neighbourhood,city_district,city,municipality,county,state,country,postcode,country_code,suburb,pharmacy,footway,residential,town,state_district,address29,pedestrian,bar,hamlet,village,cycleway,attraction,pub,post_office,restaurant,convenience,aerodrome,retail,hotel,locality,public_building,newsagent,clothes,province,estate_agent,cafe,place_of_worship,arts_centre,cinema,building,fast_food,post_box,supermarket,townhall,beauty,region,bank,parking,shoes,hairdresser,museum,industrial,clinic,commercial,alcohol,marina,theatre,memorial,artwork,castle,archaeological_site,subway_entrance,bakery,bus_stop,car,information,station,house,chalet,community_centre,bay,nightclub,courthouse,mobile_phone,hostel,optician,garden_centre,school,monument,books,travel_agency,computer,butcher,dry_cleaning,bicycle,mall,doctors,furniture,university,library,tram_stop,college,caravan_site,car_rental,stadium,sports_centre,water,path,wood,pitch,recycling,shop,address26,crematorium,car_repair,kindergarten,ferry_terminal
0,A L'abordage,"1 Quai de la Citadelle, 59140 Dunkerque, France",51.0368748,2.3708278,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, Quai de la Citadelle, La Citadelle, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59140, France",1,Quai de la Citadelle,La Citadelle,Dunkerque,Dunkerque,Dunkerque,Nord,Hauts-de-France,France,59140,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A La Bonne Cave,"11 Rue de l'Espérance, 75013 Paris, France",48.827233299999996,2.3486553,0,0,0,Cheapest beer,,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11, Rue de l'Espérance, Cité Florale, Quartier de la Maison-Blanche, Paris, Île-de-France, France métropolitaine, 75013, France",11,Rue de l'Espérance,Cité Florale,,Paris,Paris,Paris,Île-de-France,France,75013,fr,Quartier de la Maison-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A La Folie,"26 Avenue Corentin Cariou, 75019 Paris-19E-Arrondissement, France",48.8974799,2.3855854,0,0,3,Kronenbourg Tigre Bock,6.0,,50,1664 Blanche,7.0,,50.0,Carlsberg,7.0,,50.0,,,,,,,,,,,,,,,,,,,,,"32, Avenue Corentin Cariou, Quartier du Pont-de-Flandre, Paris, Île-de-France, France métropolitaine, 75019, France",32,Avenue Corentin Cariou,,,Paris,Paris,Paris,Île-de-France,France,75019,fr,Quartier du Pont-de-Flandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A La Folie,"36 Rue Oberkampf, 75011 Paris, France",48.866723,2.3817382,0,0,5,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pharmacie Rossi, Rue Oberkampf, Quartier Saint-Ambroise, Paris, Île-de-France, France métropolitaine, 75011, France",,Rue Oberkampf,,,Paris,Paris,Paris,Île-de-France,France,75011,fr,Quartier Saint-Ambroise,Pharmacie Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A La Ville De Lyon,"19 Rue de Lyon, 75012 Paris, France",48.8472651,2.3716071,0,0,2,Cheapest beer,6.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19, Rue de Lyon, Quartier des Quinze-Vingts, Paris, Île-de-France, France métropolitaine, 75012, France",19,Rue de Lyon,,,Paris,Paris,Paris,Île-de-France,France,75012,fr,Quartier des Quinze-Vingts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A Mi Manera,"Carrer del Parlament, 15, 08015 Barcelona, Espagne",41.375893100000006,2.1618049999999998,0,0,0,Cheapest beer,4.45,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20, Carrer de Viladomat, Superilla Sant Antoni, Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08015, España",20,,,,Barcelona,Barcelonès,Barcelona,Catalunya,España,08015,es,Eixample,,Carrer de Viladomat,Superilla Sant Antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A la Comète,"102 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",48.809513,2.362366,0,0,1,Cheapest beer,7.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102, Avenue de Fontainebleau, Le Kremlin-Bicêtre, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94270, France",102,Avenue de Fontainebleau,,,,Arrondissement de L'Haÿ-les-Roses,Val-de-Marne,Île-de-France,France,94270,fr,,,,,Le Kremlin-Bicêtre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AFK Bar,"52 Rue de l'Université, 69007 Lyon, France",45.748272799999995,4.843357599999999,"[16, 0]","[19, 0]",0,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52, Rue de l'Université, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France",52,Rue de l'Université,,Lyon 7e Arrondissement,Lyon,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,69007,fr,Lyon 7e Arrondissement,,,,,Circonscription départementale du Rhône,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AKATHOR,"32 Cours Saleya, 06300 Nice, France",43.69559865,7.275057766360781,0,0,0,Stella Artois,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Place Pierre Gautier, Cours Saleya, Vieux Nice, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",,,,,Nice,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,France,,fr,Vieux Nice,,,,,,Place Pierre Gautier,Cours Saleya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Abattoir Café,"1 Quai Charles Altorffer, 67000 Strasbourg, France",48.5816661,7.7377784,"[16, 0]","[19, 0]",4,Cheapest beer,5.2,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, Quai Charles Altorffer, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",1,Quai Charles Altorffer,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abri Cotier,"14 Rue de la Carrière, 56610 Arradon, France",47.6158995,-2.8288634,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'abri-cotier, 14, Rue de la Carrière, Pen Mail, Arradon, Vannes, Bretagne, France métropolitaine, 56610, France",14,Rue de la Carrière,,,,Vannes,,Bretagne,France,56610,fr,,,,,,,,,L'abri-cotier,Pen Mail,Arradon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abri111,"50 Cours du 14 Juillet, 47000 Agen, France",44.2056864,0.626314,"[17, 0]","[18, 0]",0,Cheapest beer,4.4,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abri 111, 50, Cours du 14 Juillet, Agen, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47000, France",50,Cours du 14 Juillet,,,,Agen,Lot-et-Garonne,Nouvelle-Aquitaine,France,47000,fr,,,,,Agen,,,,Abri 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Absinthe,"54 Rue de Turbigo, 75003 Paris, France",48.8656051,2.357138,"[16, 0]","[23, 0]",3,Cheapest beer,6.9,4.5,50,Meteor,7.0,4.5,50.0,Vedett Extra IPA,8.6,6.0,50.0,La Chouffe,8.6,7.0,50.0,Edelweiss Blanche,8.5,6.0,50.0,Affligem,8.5,7.0,50.0,,,,,,,,,"54, Rue de Turbigo, Quartier des Arts-et-Métiers, Paris, Île-de-France, France métropolitaine, 75003, France",54,,,,Paris,Paris,Paris,Île-de-France,France,75003,fr,Quartier des Arts-et-Métiers,,,,,,,,,,,Rue de Turbigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Académie De La Bière Cathédrale,"29 Rue des Juifs, 67000 Strasbourg, France",48.584115399999995,7.7533359,"[16, 0]","[18, 0]",0,Cheapest beer,5.9,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grande Île, Rue des Moulins, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",,,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,Rue des Moulins,,,,,Grande Île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Accademie De La Bière,"43 Rue Lavoisier, 37000 Tours, France",47.39605690000001,0.6932805137795389,"[19, 0]","[21, 0]",0,Cheapest beer,5.5,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'Académie de la Bière, 43, Rue Lavoisier, Blaise Pascal, Cathédrale, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37000, France",43,Rue Lavoisier,Blaise Pascal,,Tours,Tours,Indre-et-Loire,Centre-Val de Loire,France,37000,fr,Cathédrale,,,,,,,,,,,,,L'Académie de la Bière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Accasbel,"20 Place Carnot, 69002 Lyon, France",45.750667,4.826490799999998,0,0,1,Devil’s bit,6.5,,50,Althea,7.2,,50.0,The full irish,8.0,,50.0,Citra,8.0,,50.0,Sabotage,8.0,,50.0,Of foam and fury,9.0,,50.0,Oak king,9.8,,50.0,TBD,,,,"20, Place Carnot, Saint-Georges, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France",20,Place Carnot,Saint-Georges,Lyon 2e Arrondissement,Lyon,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,69002,fr,Lyon 2e Arrondissement,,,,,Circonscription départementale du Rhône,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AdriaWien,"Hollandstraße 8, 1020 Wien, Autriche",48.215232,16.376640300000002,0,0,0,Stiegl Weisse,3.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8, Hollandstraße, Karmeliterviertel, KG Leopoldstadt, Leopoldstadt, Wien, 1020, Österreich",8,Hollandstraße,Karmeliterviertel,Leopoldstadt,Wien,,,,Österreich,1020,at,KG Leopoldstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Afterwork,"27 Grande Rue, 53000 Laval, France",48.0678891,-0.7706984,"[16, 0]","[19, 0]",3,Cheapest beer,5.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"l'After Work, 27, Grande Rue, Avesnières, La Brochardière, Laval, Mayenne, Pays de la Loire, France métropolitaine, 53000, France",27,Grande Rue,Avesnières,,,Laval,Mayenne,Pays de la Loire,France,53000,fr,La Brochardière,,,,Laval,,,,l'After Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Agadir Bar,"197 Rue Saint-Denis, 75002 Paris, France",48.8662724,2.3508718999999996,"[14, 0]","[20, 0]",6,Cheapest beer,3.8,3.8,50,Kronenbourg,,3.0,25.0,Leffe Blonde,5.8,,50.0,1664,3.0,,25.0,1664 Blanche,4.0,,33.0,Casablanca,5.0,,33.0,Duvel,5.0,,33.0,TBD,,,,"197, Rue Saint-Denis, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",197,,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75002,fr,Quartier de Bonne-Nouvelle,,,,,,,Rue Saint-Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Agora Bar,"25 Rue des Tonneliers, 67000 Strasbourg, France",48.5805138,7.7488025999999985,"[16, 0]","[19, 0]",1,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grande Île, Rue des Moulins, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",,,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,Rue des Moulins,,,,,Grande Île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aimé,"116 Boulevard de Ménilmontant, 75020 Paris, France",48.865682799999995,2.3846982999999997,"[16, 0]","[21, 0]",2,Cheapest beer,7.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116, Boulevard de Ménilmontant, Quartier du Père-Lachaise, Paris, Île-de-France, France métropolitaine, 75020, France",116,Boulevard de Ménilmontant,,,Paris,Paris,Paris,Île-de-France,France,75020,fr,Quartier du Père-Lachaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alabama Bar,"32 Rue Albert Thomas, 75010 Paris, Francia",48.8696894,2.3630317,"[16, 0]","[19, 0]",1,Cuvée des Trolls,7.0,5.0,50,Carlsberg,6.5,5.0,50.0,Brewdog Punk IPA,9.0,5.0,50.0,La Bête,7.5,5.0,50.0,Mikkeller Milk Stout,8.0,5.0,50.0,Brewdog Dead Pony,7.0,,33.0,Kwak,6.0,,33.0,TBD,,,,"Alabama, 32, Rue Albert Thomas, Quartier de la Porte-Saint-Martin, Paris, Île-de-France, France métropolitaine, 75010, France",32,Rue Albert Thomas,,,Paris,Paris,Paris,Île-de-France,France,75010,fr,Quartier de la Porte-Saint-Martin,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Alafût,"106 Rue Martainville, 76000 Rouen, France",49.4391292,1.1019681000000001,"[17, 0]","[20, 0]",0,Cheapest beer,4.5,3.5,50,Mordue,6.0,5.0,50.0,Paix Dieu,7.0,6.0,50.0,La Chouffe,6.0,5.0,50.0,,,,,,,,,,,,,,,,,"106, Rue Martainville, Beauvoisine, Quartier Saint-Marc / Croix de Pierre / Saint-Nicaise, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France",106,Rue Martainville,Beauvoisine,,Rouen,Rouen,Seine-Maritime,Normandie,France,76000,fr,Quartier Saint-Marc / Croix de Pierre / Saint-Nicaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alaus Namai,"8, Vilnius 01108, Lithuania",54.6870458,25.2829111,0,0,1,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centrinis paštas, 7, Gedimino pr., Senamiesčio seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, 01103, Lietuva",7,Gedimino pr.,,,Vilnius,,,Vilniaus apskritis,Lietuva,01103,lt,Senamiesčio seniūnija,,,,,Vilniaus miesto savivaldybė,,,,,,,,,Centrinis paštas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Alcazar,"8 Rue de l'Ancienne Comédie, 62200 Boulogne-sur-Mer, France",50.7222621,1.6068097,0,0,6,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'alcazar café, 6, Rue de l'Ancienne Comédie, Cite Ansart du Fiesnay, Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62200, France",6,Rue de l'Ancienne Comédie,Cite Ansart du Fiesnay,,,Boulogne-sur-Mer,Pas-de-Calais,Hauts-de-France,France,62200,fr,,,,,Boulogne-sur-Mer,,,,L'alcazar café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alchemia,"Estery 5, 33-332 Kraków, Pologne",50.0521471,19.9449342,0,0,0,Cheapest beer,2.12,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alchemia, 5, Estery, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska",5,Estery,Kazimierz,Stare Miasto,Kraków,Kraków,Kraków,województwo małopolskie,Polska,31-056,pl,Stare Miasto,,,,,,,,,,,,,Alchemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alchimia,"13 Rue Auguste Comte, 21000 Dijon, France",47.323455700000004,5.0439152,"[17, 0]","[19, 0]",0,Cheapest beer,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13;15, Rue Auguste Comte, Faubourg Saint-Pierre, Centre-Ville, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",13;15,Rue Auguste Comte,Faubourg Saint-Pierre,,Dijon,Dijon,Côte-d'Or,Bourgogne-Franche-Comté,France,21000,fr,Centre-Ville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ale&Hop,"Carrer de les Basses de Sant Pere, 10, 08003 Barcelona, Espagne",41.388661,2.18019,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57, Carrer del Portal Nou, Santa Caterina, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08003, España",57,,Santa Caterina,Ciutat Vella,Barcelona,Barcelonès,Barcelona,Catalunya,España,08003,es,"Sant Pere, Santa Caterina i la Ribera",,,,,,,Carrer del Portal Nou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Alex'S Tavern,"10 Rue Saint-Michel, 35000 Rennes, France",48.113861799999995,-1.6814069999999999,0,0,4,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10, Rue Saint-Michel, Dinan - Saint-Malo, Centre, Quartiers Centre, Rennes, Bretagne, France métropolitaine, 35706, France",10,,Dinan - Saint-Malo,Quartiers Centre,Rennes,,,Bretagne,France,35706,fr,Centre,,,,,,,Rue Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Alexandre,"24 Rue de la Parcheminerie, 75005 Paris, France",48.8518461,2.3446708,"[10, 0]","[22, 30]",0,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24, Rue de la Parcheminerie, Îlot Saint-Séverin, Quartier de la Sorbonne, Paris, Île-de-France, France métropolitaine, 75005, France",24,,Îlot Saint-Séverin,,Paris,Paris,Paris,Île-de-France,France,75005,fr,Quartier de la Sorbonne,,,,,,,Rue de la Parcheminerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Alhambra Bar,"8 Avenue de la République, 75011 Paris, France",48.8666532,2.3664935000000002,"[17, 0]","[21, 0]",2,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8, Avenue de la République, Quartier de la Folie-Méricourt, Paris, Île-de-France, France métropolitaine, 75011, France",8,Avenue de la République,,,Paris,Paris,Paris,Île-de-France,France,75011,fr,Quartier de la Folie-Méricourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Alizée,"25 Boulevard Robert Jarry, 72100 Le Mans, France",47.996215,0.1924264,0,0,0,Cheapest beer,3.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pizza Pasta, 25, Boulevard Robert Jarry, Gare Nord, Les Buttes, Le Mans, Sarthe, Pays de la Loire, France métropolitaine, 72000, France",25,Boulevard Robert Jarry,Gare Nord,,Le Mans,Le Mans,Sarthe,Pays de la Loire,France,72000,fr,,,,,,,,,,Les Buttes,,,,,,Pizza Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Aller Simple,"Rue St Jean en Isle 28, 4000 Liège, Belgique",50.641619399999996,5.5692307,0,0,0,Cheapest beer,4.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'aller Simple, 28, Rue Saint-Jean-en-Île, Le Carré, Liège, Wallonie, 4000, België - Belgique - Belgien",28,,Le Carré,,Liège,,Liège,Wallonie,België - Belgique - Belgien,4000,be,,,,,,,,Rue Saint-Jean-en-Île,L'aller Simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Alt O Post,"Rue Pierre Legrand, Lille, France",50.6323113,3.0892137,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alimentation Générale, Rue Pierre Legrand, Mont de Terre, Fives, Lille, Nord, Hauts-de-France, France métropolitaine, 59042, France",,Rue Pierre Legrand,Mont de Terre,Lille,Lille,Lille,Nord,Hauts-de-France,France,59042,fr,Fives,,,,,,,,,,,,,,,,Alimentation Générale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,American Dream,"21 Rue Daunou, 75002 Paris-2E-Arrondissement, France",48.8700309,2.3303297,"[13, 0]","[17, 0]",3,Cheapest beer,9.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21, Rue Daunou, Quartier Gaillon, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",21,Rue Daunou,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75009,fr,Quartier Gaillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Americo's,"Aeroporto Internacional Amílcar Cabral, Espargos 4110, Cap-Vert",16.73879835,-22.951125574679647,0,0,1,strela,4.0,,50,super bock,4.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,"Aeroporto Amilcar, Rua dos Espargos, Hortelã, Espargos, Sal, 4110, Cabo Verde",,Rua dos Espargos,,,,,Sal,,Cabo Verde,4110,cv,Hortelã,,,,Espargos,,,,,,,,,,,,,Aeroporto Amilcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amicale Des Boulistes De Milly-La-Forêt,"Chemin des Petits Saules, 91490 Milly-la-Forêt, France",48.3972271,2.4798899,0,0,0,Cheapest beer,1.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chemin des Petits Saules, Milly-la-Forêt, Arrondissement d'Évry, Essonne, Île-de-France, France métropolitaine, 91490, France",,Chemin des Petits Saules,,,,Arrondissement d'Évry,Essonne,Île-de-France,France,91490,fr,,,,,,,,,,,Milly-la-Forêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ammazza,"5 Rue Saint-Sabin, 75011 Paris, France",48.8547782,2.3716124,"[16, 30]","[18, 30]",1,Cheapest beer,8.0,5.0,50,Vedett Extra IPA,9.0,5.0,50.0,Vedett Extra White,9.0,5.0,50.0,,,,,,,,,,,,,,,,,,,,,"5, Rue Saint-Sabin, Quartier de la Roquette, Paris, Île-de-France, France métropolitaine, 75011, France",5,Rue Saint-Sabin,,,Paris,Paris,Paris,Île-de-France,France,75011,fr,Quartier de la Roquette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
